Symbol,Company,Sector,Industry,Price,PE,PB,ROE %,Debt/Equity,Profit Margin %,Revenue CAGR %,Net Income CAGR %,Margin Trend,Blended Fair Value,Est. Upside %,Valuation Models Used,Score,Rating,Valuation Pillar,Profitability Pillar,Stability Pillar,Growth Pillar,Upside Pillar,Strengths,PE Percentile (vs Sector),ROE Percentile (vs Sector),Score Rank (vs Sector)
ACC,ACC Limited,Basic Materials,Building Materials,1394.0,13.752959,1.2738131,0.0,2.085,7.56,12.9,48.7,expanding,2692.7,93.2,1,52,🟡 HOLD,15,0,0,22,10,"Trading near/below book value, High leverage, Healthy revenue CAGR (12.9%), Strong profit CAGR (48.7%)",20.588235294117645,35.714285714285715,10.0
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,400.0,19.588638,2.1953776,0.0,,28.47,13.5,8.9,unknown,534.62,33.7,2,52,🟡 HOLD,14,11,0,12,15,"Attractive PEG ratio, High net margin (28.5%), Healthy revenue CAGR (13.5%), Significant estimated undervaluation (~44%)",43.18181818181818,26.136363636363637,21.0
BPCL,Bharat Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing,326.25,8.133882,1.3920119,0.0,54.332,3.47,-0.8,129.7,expanding,511.33,56.7,2,52,🟡 HOLD,20,0,8,12,15,"Trading near/below book value, Attractive PEG ratio, Manageable debt level, Declining revenue trend (-0.8%)",42.857142857142854,50.0,2.0
IRCTC,Indian Railway Catering & Tourism Corporation Limited,Consumer Cyclical,Travel Services,510.25,29.324713,9.474163,34.96,1.874,26.72,13.8,11.5,contracting,431.45,-15.4,2,51,🟡 HOLD,5,20,8,15,0,"Excellent ROE (35.0%), High net margin (26.7%), High leverage, Strong liquidity position",25.925925925925924,93.54838709677419,11.0
NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,349.9,10.693765,1.6706136,0.0,118.127,14.53,2.5,16.9,stable,639.09,82.6,1,51,🟡 HOLD,12,6,3,15,10,"Healthy net margin (14.5%), Strong profit CAGR (16.9%), Modest estimated undervaluation (~12%)",8.333333333333332,41.66666666666667,4.0
TRENT,Trent Limited,Consumer Cyclical,Apparel Retail,3129.0,96.81312,23.887684,27.13,36.034,8.57,34.8,57.0,expanding,818.86,-73.8,2,51,🟡 HOLD,0,15,11,25,0,"Excellent ROE (27.1%), Healthy net margin (8.6%), Manageable debt level, Strong revenue CAGR (34.8%)",88.88888888888889,87.09677419354838,11.0
BOSCHLTD,BOSCHLTD,Consumer Cyclical,Auto Parts,42920.0,45.690685,8.527114,19.35,0.8,14.0,10.3,24.8,expanding,31287.01,-27.1,1,51,🟡 HOLD,0,13,11,22,0,"Strong ROE (19.4%), Healthy net margin (14.0%), Strong liquidity position, Healthy revenue CAGR (10.3%)",55.55555555555556,77.41935483870968,11.0
COCHINSHIP,Cochin Shipyard Limited,Industrials,Aerospace & Defense,1425.0,51.742916,6.383236,12.52,28.466,14.27,29.4,33.0,expanding,936.68,-34.3,1,50,🟡 HOLD,0,10,15,25,0,"Healthy net margin (14.3%), Very low debt, Strong revenue CAGR (29.4%), Strong profit CAGR (33.0%)",69.44444444444444,70.27027027027027,12.0
CDSL,Central Depository Services (India) Limited,Financial Services,Capital Markets,1326.5,60.73718,14.146467,23.91,0.11,36.92,27.3,18.2,contracting,375.21,-71.7,2,50,🟡 HOLD,0,20,10,20,0,"Excellent ROE (23.9%), High net margin (36.9%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (27.3%)",93.18181818181817,90.9090909090909,22.0
IOC,IOC,Energy,Oil & Gas Refining & Marketing,144.0,5.89198,0.90326303,0.0,58.446,3.92,-1.8,62.6,expanding,267.5,85.8,1,50,🟡 HOLD,15,0,8,12,15,"Trading near/below book value, Manageable debt level, Declining revenue trend (-1.8%), Strong profit CAGR (62.6%)",14.285714285714285,50.0,3.0
