Symbol,Company,Sector,Industry,Price,PE,PB,ROE %,Debt/Equity,Profit Margin %,Revenue CAGR %,Net Income CAGR %,Margin Trend,Blended Fair Value,Est. Upside %,Valuation Models Used,Score,Rating,Valuation Pillar,Profitability Pillar,Stability Pillar,Growth Pillar,Upside Pillar,Strengths,PE Percentile (vs Sector),ROE Percentile (vs Sector),Score Rank (vs Sector)
ASHOKLEY,ASHOKLEY,Industrials,Farm & Heavy Construction Machinery,177.0,30.0,7.3001733,21.64,344.737,6.16,10.6,41.0,expanding,142.85,-19.3,1,41,🟠 WEAK,0,11,3,22,0,"Excellent ROE (21.6%), High leverage, Healthy revenue CAGR (10.6%), Strong profit CAGR (41.0%)",33.33333333333333,86.48648648648648,21.0
KAJARIACER,Kajaria Ceramics Limited,Industrials,Building Products & Equipment,1185.9,34.60461,6.160616,0.0,7.302,10.8,3.4,12.1,expanding,850.55,-28.3,2,41,🟠 WEAK,0,6,12,18,0,"Healthy net margin (10.8%), Very low debt, Consistent YoY growth, Margins expanding",41.66666666666667,22.972972972972975,21.0
ANGELONE,Angel One Limited,Financial Services,Capital Markets,299.2,27.00361,4.4547014,0.0,129.314,20.7,20.3,0.9,contracting,193.03,-35.5,1,41,🟠 WEAK,5,11,10,15,0,"High net margin (20.7%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (20.3%), Consistent YoY growth",56.81818181818182,26.136363636363637,30.0
BAJFINANCE,Bajaj Finance Limited,Financial Services,Credit Services,1158.8,35.633457,6.320463,0.0,314.833,43.49,22.6,18.2,unknown,549.28,-52.6,1,41,🟠 WEAK,0,11,10,20,0,"High net margin (43.5%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (22.6%), Strong profit CAGR (18.2%)",70.45454545454545,26.136363636363637,30.0
ZEEL,Zee Entertainment Enterprises Limited,Communication Services,Broadcasting,94.55,33.52837,0.7642628,2.33,2.26,3.37,0.0,78.8,contracting,117.94,24.7,2,40,🟠 WEAK,7,0,8,10,6,"Trading near/below book value, High leverage, Strong liquidity position, Strong profit CAGR (78.8%)",57.14285714285714,42.857142857142854,6.0
AUBANK,AUBANK,Financial Services,Banks - Regional,1051.3,27.885942,3.9339762,0.0,,21.37,30.3,22.8,unknown,606.93,-42.3,2,40,🟠 WEAK,9,11,0,20,0,"High net margin (21.4%), Strong revenue CAGR (30.3%), Strong profit CAGR (22.8%), Consistent YoY growth",61.36363636363637,26.136363636363637,33.0
BANDHANBNK,Bandhan Bank Limited,Financial Services,Banks - Regional,170.46,20.34129,1.0723183,0.0,,13.62,5.0,-17.7,unknown,216.26,26.9,2,40,🟠 WEAK,12,8,0,5,0,"Trading near/below book value, Healthy net margin (13.6%), Profit growth declining/negative, Appears overvalued vs blended intrinsic estimate (~-34%)",47.72727272727273,26.136363636363637,33.0
PIIND,PI Industries Limited,Basic Materials,Agricultural Inputs,2810.0,32.32114,3.7948716,12.35,3.048,19.67,1.1,2.4,stable,2044.76,-27.2,1,40,🟠 WEAK,4,13,8,10,0,"High net margin (19.7%), High leverage, Strong liquidity position, Appears overvalued vs blended intrinsic estimate (~-57%)",52.94117647058824,82.85714285714286,17.0
RATNAMANI,Ratnamani Metals & Tubes Limited,Basic Materials,Steel,2381.5,34.589687,4.0607986,13.58,7.549,10.64,-0.3,-1.9,stable,1429.84,-40.0,2,40,🟠 WEAK,0,10,20,5,0,"Healthy net margin (10.6%), Very low debt, Strong liquidity position, Declining revenue trend (-0.3%)",61.76470588235294,87.14285714285714,17.0
SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,Auto Parts,814.6,72.86225,8.46672,0.0,7.213,14.21,18.8,17.4,stable,385.65,-52.7,2,40,🟠 WEAK,0,6,12,22,0,"Healthy net margin (14.2%), Very low debt, Strong revenue CAGR (18.8%), Strong profit CAGR (17.4%)",74.07407407407408,27.419354838709676,19.0
PERSISTENT,Persistent Systems Limited,Technology,Information Technology Services,5520.0,46.47247,11.018162,0.0,6.092,12.24,20.9,26.5,stable,2619.52,-52.5,2,40,🟠 WEAK,0,6,12,22,0,"Healthy net margin (12.2%), Very low debt, Strong revenue CAGR (20.9%), Strong profit CAGR (26.5%)",93.75,34.375,9.0
COFORGE,Coforge Limited,Technology,Information Technology Services,1777.0,36.399017,6.2578573,0.0,7.518,9.64,27.0,30.9,stable,1079.79,-39.2,2,40,🟠 WEAK,0,6,12,22,0,"Healthy net margin (9.6%), Very low debt, Strong revenue CAGR (27.0%), Strong profit CAGR (30.9%)",75.0,34.375,9.0
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,Household & Personal Products,1069.0,57.908997,8.648237,15.1,34.899,12.26,4.6,3.0,expanding,702.09,-34.3,2,40,🟠 WEAK,0,15,8,12,0,"Strong ROE (15.1%), Healthy net margin (12.3%), Manageable debt level, Margins expanding",53.333333333333336,86.66666666666667,10.0
MAZDOCK,Mazagon Dock Shipbuilders Limited,Industrials,Aerospace & Defense,2380.5,35.845505,9.843733,0.0,4.481,20.12,19.7,32.2,expanding,1529.27,-35.8,1,39,🟠 WEAK,0,9,0,25,0,"High net margin (20.1%), High leverage, Strong revenue CAGR (19.7%), Strong profit CAGR (32.2%)",44.44444444444444,22.972972972972975,23.0
BIOCON,BIOCON,Healthcare,Biotechnology,425.2,150.24736,2.023442,1.15,42.145,2.28,15.3,-5.9,contracting,510.27,20.0,1,39,🟠 WEAK,4,2,11,12,0,"Manageable debt level, Strong revenue CAGR (15.3%), Profit growth declining/negative, Consistent YoY growth",100.0,52.17391304347826,16.0
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,Drug Manufacturers - General,2569.7,42.022892,19.199074,0.0,1.467,27.01,5.7,19.3,expanding,1195.85,-53.5,2,39,🟠 WEAK,0,11,3,20,0,"High net margin (27.0%), Strong profit CAGR (19.3%), Consistent YoY growth, Margins expanding",52.17391304347826,26.08695652173913,16.0
PVRINOX,PVR INOX Limited,Communication Services,Entertainment,1161.9,40.754124,1.5481328,0.0,91.874,6.52,21.2,,expanding,1915.21,64.8,2,39,🟠 WEAK,4,2,3,15,15,"Strong revenue CAGR (21.2%), Margins expanding, Significant estimated undervaluation (~138%)",71.42857142857143,21.428571428571427,7.0
VGUARD,V-Guard Industries Limited,Industrials,Electrical Equipment & Parts,310.25,37.379517,5.7106833,0.0,6.964,5.78,13.1,17.7,stable,223.08,-28.1,2,37,🟠 WEAK,0,0,12,20,0,"Very low debt, Healthy revenue CAGR (13.1%), Strong profit CAGR (17.7%), Consistent YoY growth",52.77777777777778,22.972972972972975,24.0
UPL,UPL Limited,Basic Materials,Agricultural Inputs,577.25,25.839302,1.4044739,0.0,57.128,3.82,-1.2,-18.6,contracting,751.2,30.1,2,37,🟠 WEAK,12,0,8,2,0,"Trading near/below book value, Manageable debt level, Declining revenue trend (-1.2%), Profit growth declining/negative",48.529411764705884,35.714285714285715,19.0
LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,4057.0,33.66805,5.1065493,0.0,97.64,5.59,16.1,15.4,stable,3181.47,-21.6,2,37,🟠 WEAK,5,2,3,22,0,"Attractive PEG ratio, Strong revenue CAGR (16.1%), Strong profit CAGR (15.4%), Consistent YoY growth",36.11111111111111,22.972972972972975,24.0
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,Auto Parts,2197.1,96.491,10.964777,11.6,76.475,6.42,9.7,26.9,expanding,1003.03,-54.3,1,37,🟠 WEAK,0,6,11,20,0,"Manageable debt level, Healthy revenue CAGR (9.7%), Strong profit CAGR (26.9%), Margins expanding",85.18518518518519,67.74193548387096,20.0
IRCON,Ircon International Limited,Industrials,Engineering & Construction,131.36,20.751976,1.8584384,9.08,85.833,6.57,-4.3,-8.0,stable,261.46,99.0,1,37,🟠 WEAK,9,0,8,2,0,"Strong liquidity position, Declining revenue trend (-4.3%), Profit growth declining/negative, Appears overvalued vs blended intrinsic estimate (~-24%)",16.666666666666664,54.054054054054056,24.0
UPL,UPL Limited,Basic Materials,Agricultural Inputs,577.25,25.839302,1.4044739,0.0,57.128,3.82,-1.2,-18.6,contracting,751.2,30.1,2,37,🟠 WEAK,12,0,8,2,0,"Trading near/below book value, Manageable debt level, Declining revenue trend (-1.2%), Profit growth declining/negative",48.529411764705884,35.714285714285715,19.0
CAMS,Computer Age Management Services Limited,Technology,Information Technology Services,811.85,42.505234,15.241429,0.0,4.863,31.79,16.0,18.6,expanding,371.73,-54.2,2,36,🟠 WEAK,0,11,0,25,0,"High net margin (31.8%), High leverage, Strong revenue CAGR (16.0%), Strong profit CAGR (18.6%)",87.5,34.375,11.0
CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1458.8,34.958065,3.4223807,0.0,1.778,12.01,7.2,11.5,stable,1328.36,-8.9,2,36,🟠 WEAK,4,6,0,15,0,"Healthy net margin (12.0%), High leverage, Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-68%)",30.434782608695656,26.08695652173913,18.0
EICHERMOT,Eicher Motors Limited,Consumer Cyclical,Auto Manufacturers,7986.5,37.980312,8.728272,0.0,2.048,23.21,17.5,23.7,stable,5623.23,-29.6,2,36,🟠 WEAK,0,9,0,22,0,"High net margin (23.2%), High leverage, Strong revenue CAGR (17.5%), Strong profit CAGR (23.7%)",40.74074074074074,27.419354838709676,21.0
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,Financial Conglomerates,2086.0,33.032463,4.280274,0.0,256.404,6.47,22.9,15.2,stable,1228.39,-41.1,1,36,🟠 WEAK,0,4,10,22,0,"Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (22.9%), Strong profit CAGR (15.2%), Consistent YoY growth",65.9090909090909,26.136363636363637,35.0
INDIGO,InterGlobe Aviation Limited,Industrials,Airlines,5400.0,,29.948092,0.0,866.462,3.79,15.6,,expanding,6950.27,28.7,1,35,🟠 WEAK,0,2,0,18,15,"High leverage, Strong revenue CAGR (15.6%), Consistent YoY growth, Margins expanding",,22.972972972972975,27.0
MFSL,Max Financial Services Limited,Financial Services,Insurance - Life,1523.0,626.74896,19.1094,1.63,12.673,0.18,15.0,-39.5,stable,1988.01,30.5,2,35,🟠 WEAK,0,0,10,10,15,"Leverage ratio not directly comparable (financial sector), Healthy revenue CAGR (15.0%), Profit growth declining/negative, Significant estimated undervaluation (~152%)",100.0,52.27272727272727,36.0
JSWENERGY,JSW Energy Limited,Utilities,Utilities - Independent Power Producers,566.0,44.496853,3.2323647,0.0,229.16,10.37,23.6,14.9,expanding,361.3,-36.2,1,34,🟠 WEAK,4,8,0,22,0,"Healthy net margin (10.4%), High leverage, Strong revenue CAGR (23.6%), Consistent YoY growth",83.33333333333334,41.66666666666667,5.0
NIACL,The New India Assurance Company Limited,Financial Services,Insurance - Diversified,183.76,38.932205,0.7857424,0.0,,1.49,6.9,10.5,stable,306.22,66.6,1,34,🟠 WEAK,7,0,0,12,0,"Trading near/below book value, Appears overvalued vs blended intrinsic estimate (~-14%)",75.0,26.136363636363637,37.0
DIXON,Dixon Technologies (India) Limited,Technology,Consumer Electronics,14310.0,41.926693,15.940294,0.0,18.457,3.64,58.9,77.9,stable,5311.21,-62.9,2,34,🟠 WEAK,0,0,12,22,0,"Very low debt, Strong revenue CAGR (58.9%), Strong profit CAGR (77.9%), Consistent YoY growth",81.25,34.375,12.0
SHREECEM,Shree Cement Limited,Basic Materials,Building Materials,26900.0,59.523808,10.533385,0.0,38.149,14.53,5.7,11.1,expanding,8653.94,-67.8,2,34,🟠 WEAK,5,6,8,15,0,"Attractive PEG ratio, Healthy net margin (14.5%), Manageable debt level, Margins expanding",91.17647058823529,35.714285714285715,21.0
COLPAL,Colgate-Palmolive (India) Limited,Consumer Defensive,Household & Personal Products,2040.0,41.09589,35.026268,0.0,2.993,21.72,4.9,8.2,expanding,1186.55,-41.8,2,34,🟠 WEAK,0,11,0,15,0,"High net margin (21.7%), High leverage, Margins expanding, Appears overvalued vs blended intrinsic estimate (~-68%)",26.666666666666668,43.333333333333336,11.0
JSL,Jindal Stainless Limited,Basic Materials,Steel,744.5,19.237726,13.628792,0.0,37.523,7.38,6.5,14.7,expanding,403.33,-45.8,2,34,🟠 WEAK,5,0,8,18,0,"Manageable debt level, Consistent YoY growth, Margins expanding, Appears overvalued vs blended intrinsic estimate (~-79%)",32.35294117647059,35.714285714285715,21.0
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,208.99,28.28011,6.206456,0.0,82.332,24.15,12.5,6.2,expanding,126.76,-39.3,1,34,🟠 WEAK,5,11,3,15,0,"High net margin (24.1%), Healthy revenue CAGR (12.5%), Margins expanding, Appears overvalued vs blended intrinsic estimate (~-64%)",50.0,41.66666666666667,5.0
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1380.0,132.94798,11.7837925,0.0,346.548,13.1,16.6,19.3,expanding,264.54,-80.8,1,33,🟠 WEAK,0,8,0,25,0,"Healthy net margin (13.1%), High leverage, Strong revenue CAGR (16.6%), Strong profit CAGR (19.3%)",100.0,41.66666666666667,7.0
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1642.0,67.851234,7.757358,0.0,194.5,9.58,27.7,22.0,expanding,543.03,-66.9,1,33,🟠 WEAK,0,8,0,25,0,"Healthy net margin (9.6%), High leverage, Strong revenue CAGR (27.7%), Strong profit CAGR (22.0%)",91.66666666666666,41.66666666666667,7.0
VOLTAS,Voltas Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1300.5,113.87916,6.7487626,5.72,15.51,2.64,14.5,40.7,stable,783.89,-39.7,1,33,🟠 WEAK,0,0,15,18,0,"Very low debt, Healthy revenue CAGR (14.5%), Strong profit CAGR (40.7%), Appears overvalued vs blended intrinsic estimate (~-83%)",92.5925925925926,54.83870967741935,22.0
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,5000.0,80.16675,20.173328,0.0,85.446,13.87,13.3,20.2,expanding,1436.96,-71.3,2,33,🟠 WEAK,0,8,3,22,0,"Healthy net margin (13.9%), Healthy revenue CAGR (13.3%), Strong profit CAGR (20.2%), Consistent YoY growth",86.95652173913044,26.08695652173913,19.0
POLICYBZR,PB Fintech Limited,Financial Services,Insurance Brokers,1620.0,111.49346,10.239232,9.74,4.922,9.86,38.5,,expanding,337.25,-79.2,1,32,🟠 WEAK,0,4,10,18,0,"Healthy net margin (9.9%), Leverage ratio not directly comparable (financial sector), Strong revenue CAGR (38.5%), Consistent YoY growth",97.72727272727273,56.81818181818182,38.0
TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,4912.4,86.12202,27.772814,37.13,195.001,5.79,29.2,16.0,contracting,1413.29,-71.2,2,32,🟠 WEAK,0,9,3,20,0,"Excellent ROE (37.1%), High leverage, Strong revenue CAGR (29.2%), Strong profit CAGR (16.0%)",81.48148148148148,96.7741935483871,23.0
LINDEINDIA,Linde India Limited,Basic Materials,Specialty Chemicals,7088.0,110.61173,14.168236,13.58,,21.69,0.3,7.8,expanding,1445.31,-79.6,1,32,🟠 WEAK,5,15,0,12,0,"Attractive PEG ratio, High net margin (21.7%), Margins expanding, Appears overvalued vs blended intrinsic estimate (~-88%)",100.0,87.14285714285714,23.0
NHPC,NHPC Limited,Utilities,Utilities - Renewable,78.6,28.37545,1.9101316,9.02,113.111,32.42,3.5,-1.2,contracting,82.18,4.6,1,32,🟠 WEAK,9,9,3,5,0,"High net margin (32.4%), Profit growth declining/negative, Appears overvalued vs blended intrinsic estimate (~-36%)",58.333333333333336,83.33333333333334,9.0
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel,1948.5,44.906662,10.216227,0.0,9.396,5.23,12.6,23.3,stable,849.94,-56.4,2,32,🟠 WEAK,0,0,12,20,0,"Very low debt, Healthy revenue CAGR (12.6%), Strong profit CAGR (23.3%), Consistent YoY growth",76.47058823529412,35.714285714285715,23.0
CERA,Cera Sanitaryware Limited,Industrials,Building Products & Equipment,6294.5,39.798306,5.5139217,14.47,3.172,9.95,4.1,-0.8,contracting,4487.25,-28.7,2,31,🟠 WEAK,0,10,8,8,0,"Healthy net margin (10.0%), High leverage, Strong liquidity position, Profit growth declining/negative",55.55555555555556,78.37837837837837,28.0
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1665.0,64.236115,15.643938,0.0,3.776,17.2,7.4,24.4,expanding,440.4,-73.5,2,31,🟠 WEAK,0,11,0,20,0,"High net margin (17.2%), High leverage, Strong profit CAGR (24.4%), Consistent YoY growth",95.58823529411765,35.714285714285715,25.0
UNITDSPR,UNITDSPR,Consumer Defensive,Beverages - Wineries & Distilleries,1520.0,63.89239,12.054977,0.0,4.611,14.92,5.6,17.4,expanding,807.22,-46.9,2,31,🟠 WEAK,0,6,0,20,0,"Healthy net margin (14.9%), High leverage, Strong profit CAGR (17.4%), Consistent YoY growth",66.66666666666666,43.333333333333336,12.0
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,Insurance - Life,516.55,44.491817,5.491999,12.58,19.037,2.55,8.5,25.5,stable,231.21,-55.2,1,31,🟠 WEAK,0,6,10,15,0,"Leverage ratio not directly comparable (financial sector), Healthy revenue CAGR (8.5%), Strong profit CAGR (25.5%), Appears overvalued vs blended intrinsic estimate (~-70%)",79.54545454545455,65.9090909090909,39.0
PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,1665.0,64.236115,15.643938,0.0,3.776,17.2,7.4,24.4,expanding,440.4,-73.5,2,31,🟠 WEAK,0,11,0,20,0,"High net margin (17.2%), High leverage, Strong profit CAGR (24.4%), Consistent YoY growth",95.58823529411765,35.714285714285715,25.0
TECHM,Tech Mahindra Limited,Technology,Information Technology Services,1650.0,28.51711,4.9340925,0.0,7.269,8.68,2.2,-0.1,stable,1304.7,-20.9,2,31,🟠 WEAK,5,6,12,8,0,"Healthy net margin (8.7%), Very low debt, Profit growth declining/negative, Appears overvalued vs blended intrinsic estimate (~-52%)",43.75,34.375,13.0
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2085.3,46.26803,10.052739,0.0,3.016,22.64,2.3,14.1,stable,1436.09,-31.1,2,31,🟠 WEAK,0,11,0,12,0,"High net margin (22.6%), High leverage, Appears overvalued vs blended intrinsic estimate (~-75%)",40.0,43.333333333333336,12.0
RELIANCE,RELIANCE,Energy,Oil & Gas Refining & Marketing,1280.0,23.167421,1.9160386,0.0,36.653,6.61,6.4,6.6,stable,881.87,-31.1,1,31,🟠 WEAK,14,2,8,12,0,"Attractive PEG ratio, Manageable debt level, Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-29%)",85.71428571428571,50.0,5.0
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",266.1,,5.776369,-6.34,5.797,-2.99,5.6,,stable,281.54,5.8,1,31,🟠 WEAK,0,0,15,10,0,"Very low debt, Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-35%)",,6.451612903225806,24.0
PFIZER,Pfizer Limited,Healthcare,Drug Manufacturers - General,4908.0,30.495836,5.342262,0.0,1.671,28.61,1.3,5.0,expanding,4410.65,-10.1,2,31,🟠 WEAK,0,11,0,12,0,"High net margin (28.6%), High leverage, Margins expanding, Appears overvalued vs blended intrinsic estimate (~-47%)",26.08695652173913,26.08695652173913,20.0
LTTS,L&T Technology Services Limited,Technology,Information Technology Services,3575.3,29.677929,5.8549757,0.0,8.911,11.68,7.6,1.8,contracting,2669.4,-25.3,2,31,🟠 WEAK,5,6,12,8,0,"Healthy net margin (11.7%), Very low debt, Appears overvalued vs blended intrinsic estimate (~-50%)",62.5,34.375,13.0
TATACHEM,Tata Chemicals Limited,Basic Materials,Chemicals,666.15,,0.8002734,0.0,36.081,-14.32,-4.8,,contracting,2700.8,305.4,0,30,🟠 WEAK,7,0,8,0,0,"Trading near/below book value, Manageable debt level, Declining revenue trend (-4.8%), Insufficient data for intrinsic value estimate",,35.714285714285715,27.0
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,62.1,,1.2936691,-12.69,98.822,-9.49,-12.9,,contracting,406.43,554.5,0,30,🟠 WEAK,7,0,6,2,0,"Trading near/below book value, Declining revenue trend (-12.9%), Insufficient data for intrinsic value estimate",,3.225806451612903,25.0
THERMAX,Thermax Limited,Industrials,Conglomerates,4064.9,77.279465,8.252548,0.0,42.166,5.47,9.8,17.0,expanding,1947.56,-52.1,1,30,🟠 WEAK,0,0,8,22,0,"Manageable debt level, Healthy revenue CAGR (9.8%), Strong profit CAGR (17.0%), Consistent YoY growth",86.11111111111111,22.972972972972975,29.0
BDL,Bharat Dynamics Limited,Industrials,Aerospace & Defense,1240.0,107.73241,10.70969,10.19,0.007,17.21,-0.9,6.1,contracting,396.87,-68.0,2,30,🟠 WEAK,0,11,17,2,0,"High net margin (17.2%), Very low debt, Strong liquidity position, Declining revenue trend (-0.9%)",94.44444444444444,67.56756756756756,29.0
UBL,United Breweries Limited,Consumer Defensive,Beverages - Brewers,1412.6,90.37748,8.258114,0.0,29.076,4.03,8.0,10.8,stable,956.66,-32.3,1,30,🟠 WEAK,0,0,12,18,0,"Very low debt, Healthy revenue CAGR (8.0%), Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-83%)",100.0,43.333333333333336,14.0
BHEL,Bharat Heavy Electricals Limited,Industrials,Specialty Industrial Machinery,412.4,58.914284,5.4921494,0.0,31.312,6.76,13.5,35.9,expanding,296.26,-28.2,2,30,🟠 WEAK,0,0,8,22,0,"Manageable debt level, Healthy revenue CAGR (13.5%), Strong profit CAGR (35.9%), Consistent YoY growth",75.0,22.972972972972975,29.0
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,1684.0,34.822166,4.9317493,14.63,,8.76,14.9,17.0,expanding,902.1,-46.4,1,30,🟠 WEAK,0,8,0,22,0,"Healthy net margin (8.8%), Healthy revenue CAGR (14.9%), Strong profit CAGR (17.0%), Consistent YoY growth",68.18181818181817,75.0,40.0
DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,3946.0,83.83259,10.496188,0.0,9.913,4.29,17.1,7.7,stable,2378.69,-39.7,1,30,🟠 WEAK,0,0,12,18,0,"Very low debt, Strong revenue CAGR (17.1%), Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-84%)",86.66666666666667,43.333333333333336,14.0
TORNTPOWER,Torrent Power Limited,Utilities,Utilities - Independent Power Producers,1323.5,27.567175,3.4962265,0.0,70.885,7.96,4.0,4.5,stable,1026.61,-22.4,1,29,🔴 AVOID,9,2,8,10,0,"Manageable debt level, Appears overvalued vs blended intrinsic estimate (~-52%)",41.66666666666667,41.66666666666667,10.0
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,545.0,58.982685,6.0169134,10.8,15.842,1.9,9.3,11.8,stable,202.71,-62.8,1,29,🔴 AVOID,0,4,10,15,0,"Leverage ratio not directly comparable (financial sector), Healthy revenue CAGR (9.3%), Appears overvalued vs blended intrinsic estimate (~-75%)",86.36363636363636,61.36363636363637,41.0
TATAELXSI,Tata Elxsi Limited,Technology,Software - Application,3749.8,35.70898,7.6808214,0.0,5.336,16.74,6.1,-5.9,contracting,2233.71,-40.4,2,29,🔴 AVOID,0,9,12,8,0,"High net margin (16.7%), Very low debt, Profit growth declining/negative, Consistent YoY growth",68.75,34.375,15.0
NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,Internet Retail,335.35,486.0145,66.77619,0.0,82.829,2.4,25.1,118.0,expanding,31.75,-90.5,2,28,🔴 AVOID,0,0,3,25,0,"Strong revenue CAGR (25.1%), Strong profit CAGR (118.0%), Consistent YoY growth, Margins expanding",100.0,27.419354838709676,26.0
ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,2760.0,55.566742,12.387403,0.0,17.847,12.81,1.1,1.7,stable,870.49,-68.5,2,28,🔴 AVOID,0,6,12,10,0,"Healthy net margin (12.8%), Very low debt, Appears overvalued vs blended intrinsic estimate (~-76%)",79.41176470588235,35.714285714285715,28.0
ATUL,Atul Ltd,Basic Materials,Specialty Chemicals,6794.0,25.127598,3.214859,0.0,2.907,11.97,4.9,9.7,stable,5821.91,-14.3,2,27,🔴 AVOID,9,6,0,12,0,"Healthy net margin (12.0%), High leverage, Appears overvalued vs blended intrinsic estimate (~-37%)",44.11764705882353,35.714285714285715,29.0
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts,889.5,112.31061,17.575924,0.0,1.446,9.75,21.2,7.8,stable,236.46,-73.4,1,27,🔴 AVOID,0,6,3,18,0,"Healthy net margin (9.8%), Strong revenue CAGR (21.2%), Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-89%)",97.22222222222221,22.972972972972975,32.0
LAURUSLABS,Laurus Labs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1835.0,90.9767,18.691113,0.0,46.369,15.04,3.8,4.0,contracting,554.76,-69.8,1,27,🔴 AVOID,0,11,8,8,0,"High net margin (15.0%), Manageable debt level, Appears overvalued vs blended intrinsic estimate (~-88%)",95.65217391304348,26.08695652173913,21.0
TVSMOTOR,TVSMOTOR,Consumer Cyclical,Auto Manufacturers,4455.2,61.929386,63.362392,0.0,306.09,5.69,20.2,31.5,expanding,1355.78,-69.6,1,27,🔴 AVOID,0,2,0,25,0,"High leverage, Strong revenue CAGR (20.2%), Strong profit CAGR (31.5%), Consistent YoY growth",70.37037037037037,27.419354838709676,27.0
SUPREMEIND,The Supreme Industries Limited,Industrials,Building Products & Equipment,3460.6,42.60773,7.1256933,0.0,1.473,9.12,6.8,3.3,stable,1903.32,-45.0,2,26,🔴 AVOID,0,6,3,12,0,"Healthy net margin (9.1%), Consistent YoY growth, Appears overvalued vs blended intrinsic estimate (~-78%)",58.333333333333336,22.972972972972975,33.0
TATASTEEL,Tata Steel Limited,Basic Materials,Steel,192.99,21.831448,2.3580801,0.0,89.017,4.6,-1.6,7.2,stable,194.01,0.5,2,26,🔴 AVOID,9,0,3,5,0,"Declining revenue trend (-1.6%), Appears overvalued vs blended intrinsic estimate (~-34%)",38.23529411764706,35.714285714285715,30.0
SRF,SRF Limited,Industrials,Conglomerates,2639.7,36.19498,5.5720673,0.0,36.195,12.72,1.8,-5.3,contracting,2196.19,-16.8,1,26,🔴 AVOID,0,8,8,5,0,"Healthy net margin (12.7%), Manageable debt level, Profit growth declining/negative, Appears overvalued vs blended intrinsic estimate (~-67%)",50.0,22.972972972972975,33.0
COROMANDEL,Coromandel International Limited,Basic Materials,Agricultural Inputs,2086.4,33.543407,4.892817,0.0,11.469,5.62,10.2,-0.9,contracting,1321.62,-36.7,1,25,🔴 AVOID,0,0,12,8,0,"Very low debt, Healthy revenue CAGR (10.2%), Profit growth declining/negative, Appears overvalued vs blended intrinsic estimate (~-63%)",58.82352941176471,35.714285714285715,31.0
HAVELLS,Havells India Limited,Industrials,Electrical Equipment & Parts,1290.0,49.5582,8.557611,0.0,2.801,6.92,9.9,16.4,stable,738.98,-42.7,1,25,🔴 AVOID,5,0,0,20,0,"Attractive PEG ratio, High leverage, Healthy revenue CAGR (9.9%), Strong profit CAGR (16.4%)",66.66666666666666,22.972972972972975,35.0
SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,3980.0,80.99308,10.240892,0.0,2.213,9.46,3.0,10.9,stable,1648.0,-58.6,1,24,🔴 AVOID,0,4,8,12,0,"Healthy net margin (9.5%), High leverage, Strong liquidity position, Appears overvalued vs blended intrinsic estimate (~-84%)",88.88888888888889,22.972972972972975,36.0
